text,sentiment
 i d have responded  if i were going,1
 sooo sad i will miss you here in san diego   ,0
my boss is bullying me   ,0
 what interview  leave me alone,0
 sons of       why couldn t they put them on the releases we already bought,0
   some shameless plugging for the best rangers forum on earth,1
 feedings for the baby are fun when he is all smiles and coos,2
soooo high,1
 both of you,1
 journey   wow    u just became cooler   hehe     is that possible   ,2
 as much as i love to be hopeful  i reckon the chances are minimal  p i m never gonna get my cake and stuff,1
i really really like the song love story by taylor swift,2
my sharpie is running dangerously low on ink,0
i want to go to music tonight but i lost my voice ,0
test test from the lg ,1
uh oh  i am sunburned,0
 s ok  trying to plot alternatives as we speak  sigh ,0
i ve been sick for the past few days  and thus  my hair looks wierd   if i didnt have a hat on it would look    ,0
is back home now      gonna miss every one,0
hes just not that into you,1
 oh marly  i m so sorry    i hope you find her soon      ,1
playing ghost online is really interesting  the new updates are kirin pet and metamorph for third job   can t wait to have a dragon pet,2
is cleaning the house for her family who is comming later today  ,1
gotta restart my computer    i thought  was supposed to put an end to the constant rebootiness,1
see wat i mean bout  friidays    it s called lose  friday    smh,1
the free fillin  app on my ipod is fun  im addicted,2
  i m sorry ,0
on the way to malaysia   no internet access to twit,0
juss came backk from berkeleyy   omg its madd fun out there  havent been out there in a minute   whassqoodd  ,2
went to sleep and there is a power cut in noida  power back up not working too,0
i m going home now  have you seen my new twitter design  quite    heavenly isn      ,2
i hope unni will make the audition   fighting dahye unni  ,2
 if it is any consolation i got my bmi tested hahaha it says i am obesed  well so much for being unhappy for about  minutes ,0
 that s very funny   cute kids ,2
 ahhh  i slept through the game   i m gonna try my best to watch tomorrow though  i hope we play army ,1
thats it  its the end  tears for fears vs eric prydz  dj hero   ,1
born and raised in nyc and living in texas for the past  years   i still miss ny,0
just in case you wonder  we are really busy today and this coming with with adding tons of new blogs and updates stay tuned,1
i m soooooo sleeeeepy    the last day o  school was today    sniffle    ,0
a little happy for the wine jeje ok it sm my free time so who cares  jaja i love this day,2
 car not happy  big big dent in boot  hoping theyre not going to write it off  crossing fingers and waiting,1
im an avid fan of      magazine and i love your magazines,2
mayday  ,1
ratt rocked nashville tonite  one thing sucked  no encore   like in the  s they still have a fun show  pearcy has that hott bad boy look,1
 i love to  but i m only available from    and where dear  would love to help  convert her vids ã â â½,2
the girl in the hair salon asked me  shall i trim your eyebrows   how old do i feel ,1
egh blah and boooooooooooo i dunno wanna go to work  hangovers suckkkkkk im a drunk mess ,0
 visiting my friendster and facebook,1
i donbt like to peel prawns  i also dont like going shopping  running out of money and crawling round the car looking for more,0
 which case  i got a new one last week and i m not thrilled at all with mine ,0
 then you should check out  and connect with other tweeple who hate twitter,1
 also bored at school  its my third freelesson  freistunde  ,1
 hm    both of us i guess   ,1
 it is        u have dissappointed me that past few days,0
 romance zero is funny,2
 i d rather do the early run  but i am a morning runner,1
bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,0
will be back later   ,1
aw  torn ace of hearts   hunchback,0
 what fun are you speaking of ,1
i lost all my friends  i m alone and sleepy  i wanna go home,0
 haha yes,1
i give in to easily,0
what better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine  our wine was a red,2
mannnn       got an iphone    im jealous      ,0
is at a photoshoot ,1
  he s awesome    have you worked with him before  he s a good friend ,2
yay playing a show tonight  boo it s gonna soggy and i m at work right before playing,1
chilliin,2
 if you know such agent  do let me know,1
i still smell of smoke   kitchenfire,1
 a celtics lakers rematch sounds better don t you think  lol,2
anyone have an extra keane ticket  i promise to buy you a drink and take rad pics for your fb   blog   flickr   etc,1
 you can ride one  you can catch one  but its not summer til you pop open one    ,1
 she is good  so gor juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,1
ok   i m out of here for now  just popped in to say hi and check on things  i ll probably head to the guttah later on tonight,1
wow  i am really missin the fam ily  today  baddd ,0
 my sources say no,1
i am sooo tired,0
 hey  you change your twitter account  and you didn t even tell me   ,1
 thank yyyyyyyyyoooooooooouuuuu ,2
 lucky kid   i so wanna see loserville  pity im in oz    ,2
fell asleep waiting for my ride ,1
sick  with a flu like thing ,0
still no reply from  about my simfinger problem  so no irape parody video until i get a response  sorry guys,0
happy star wars day everyone  and enjoy the holiday  uk ,2
 miles from you   i m in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers ,1
his snoring is so annoying n it keeps me from sleeping  like right now  lol  but i honestly wud miss it if it eva left  i love him ,1
i miss you bby      wish you were going tomorrow to make me do good ,0
 well what im working on isn t quite ready to post about publicly  still beta testing  but its a cool new script i coded,2
 sweeeeet   san fran is awesome      love it there,2
mounce yes and it lasts way past my bedtime ,1
 hi  how are you doing       just joined twitter    ,1
waiting for sleeping pills to kick in    gonna be so tired at work tomorrow,0
eating ice cream and then getting ready for graduation ,1
happy mothers day to all you mums out there,2
 casey s gone     but why   so  she piddled a little on the carpet  she s prolly freaked cause it s new  can we get her back ,0
 hemp cloth is marvelous but unfortunately no,0
gonna read a story bout adam lambert online then bed  nighty night,1
 we saw that in none    the baddie s the best,2
  and im on the beach  pretty,2
 certainly not cheers than  huh ,1
 week post my horrible  traumatic jumping cholla accident   cholla s next dirty trick pieces are starting to emerge from my hand  ouch ,0
i realy wanted to go out cause its so nice but everybodys busy,0
 awesome   i m down in ocean beach  if you know where that is   by the way   yourbiggestfan  i m a re al big fan of you rs ,2
at least i get to watch over time  let s go pens  ,1
 cool i wear black most of the time when i go out,1
 haha i do not know how to work blip apart from the obvious  thanks for reblipping my song  have a nice day     ,2
 have a safe trip joshy poo       you ll knock them dead at your speech,2
 woof  i wish i was allowed to go,2
if u have a friendster add me                 my email adress      add me   com        add me leave some comment,1
  has tickets        ,1
thank you  afrin nasal spray  also  i got a giant teacup tonight ,2
 acsm  it s unfathomable   i think the other one    and the    is one that should be kept to the comfort of our bedrooms  yes ,1
aww  i love my daddy  he works  days a week almost all day and still tries to go to sf with all of us,2
so many tests todayyy  i don t feel confident about anyy ,0
graduation is done  im a little sad   anyone want to hang out   ,0
 hahaa your awesomee  ,2
holy smokes  star trek was freaking awesomeeeee,2
i hate fallout  it keeps making me jump  i m also low on health  money  ammo and food  don t worry i ll get through it ,1
 i had it  on my itunes  but then i lost all my songs ,1
what s with the gloomy weather  the sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,1
not looking forward to next week  maths  geography  english and french exams  totalling  hours,0
 poor you  get outside and sleep in the garden  the sun will do you good  but don t forget suncream   ,0
not well,0
 not a prob hun,2
at dads  watching some mtv and am going on  in a minutee,1
 absolutely,1
 what s the matter chickadee ,1
 hey mia   totally adore your music   when will your cd be out ,2
shopping  cleaning  bmfing  webcam chatting with nephews  nothing spesh  but a good bank holiday monday nonetheless,2
  o you need to ask him something  lmao i love him too,2
 those splinters look very painful   but you were being very heroic saving mr  pickle,0
 why are you sad ,0
 nice to see you tweeting   it s sunday  may and we re celebrating mother s day here today  so be nice to yer mom,2
decided  trans frm relaxed  natural hair but i wish my whole head looked like my roots   age of the instant gratification    ,2
 namaskar   namaste r both the same  marathi people say namaskar  its a marathi word     should i      naaaah  ,1
 congrats   i cuss like that in a matter of minutes  but didn t know until now there is a reward for it ,1
humous and dorito s     oh yes,1
missed all the awesome weather  because she was in a movie ,0
today is going to be a normal day for i hope  we had a group of pilots from a large airline come in last night so it was too much drink,1
these kids are terrible  if i was in good evans  i d call childline,0
unfortunatley  aerlingus no longer fly to copenhagen so we re have to fly ryanair to billund and drive up to copenhagen one of the days ,0
 what s sad is that i actually had to google that term  that sucks  tho ,0
hate fighting,0
 i watched that too    i didnt want her to win  but she put up a good fight  lol,1
car warmed sprite tastes like sore throat,0
just came  in cross country and beat dumbo,1
candle wax is very enjoyable ,2
 she s unassuming and unpretentious  she s just  as  i suppose that s why she s so endearing  because we can relate to her,2
tomorrow valeria s lunch    going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,1
goooooddd morning tweets    week three of my workout  did i mention i got my new glasses yesterday   ,2
 me too  i hate my computer so much  ,0
 fine  going to do my big walk today  or so miles,2
i want red cruisers    i don t like the other ones  lmfao ,0
mmmmmmmm      it in the morning,1
 me neither,1
has about  hours work to do  on a sunday  boo  i will find time for a two hour lunchbreak though  yeah,1
bugger  forgot i still have washing in my machine,0
laurie sending love  blessings   healing thoughts to you   family  peace,2
my back hurts   really bad,0
 ah yes  i know that feeling,1
night of the cookers with my dad,1
my modem has been offline for a week now    god bless the  network  tim just left    again   may schedule has been brutal,0
 nope i am in coquitlam,1
 had parent teacher thing yesterday   so boring going to skl on saturday    lol,0
